p,condition,task,ISIadj,trialNum,ISI,corrAns,targetIndex,shiftDirection,response,correct,nReversal,frameDurMS
3625,exp,IORcontrol,0.599999996,1,0.5,2,0,1,2,1,0,0.099999996
3625,exp,IORcontrol,0.549999996,2,0.45,7,0,1,7,1,0,0.099999996
3625,exp,IORcontrol,0.499999996,3,0.4,7,0,1,7,1,0,0.099999996
3625,exp,IORcontrol,0.449999996,4,0.35,0,0,0,5,0,1,0.099999996
3625,exp,IORcontrol,0.499999996,5,0.4,7,0,1,7,1,2,0.099999996
3625,exp,IORcontrol,0.449999996,6,0.35,3,0,1,7,0,3,0.099999996
3625,exp,IORcontrol,0.499999996,7,0.4,5,0,1,5,1,4,0.099999996
3625,exp,IORcontrol,0.449999996,8,0.35,6,0,1,6,1,0,0.099999996
3625,exp,IORcontrol,0.399999996,9,0.3,2,0,1,2,1,0,0.099999996
3625,exp,IORcontrol,0.349999996,10,0.25,6,0,0,6,1,0,0.099999996
3625,exp,IORcontrol,0.299999996,11,0.2,8,0,0,8,1,0,0.099999996
3625,exp,IORcontrol,0.249999996,12,0.15,1,0,0,1,1,0,0.099999996
3625,exp,IORcontrol,0.199999996,13,0.1,4,0,1,2,0,5,0.099999996
3625,exp,IORcontrol,0.249999996,14,0.15,8,0,1,9,0,0,0.099999996
3625,exp,IORcontrol,0.299999996,15,0.2,6,0,0,1,0,0,0.099999996
3625,exp,IORcontrol,0.349999996,16,0.25,0,0,1,0,1,6,0.099999996
3625,exp,IORcontrol,0.299999996,17,0.2,1,0,0,1,1,0,0.099999996
3625,exp,IORcontrol,0.249999996,18,0.15,0,0,1,0,1,0,0.099999996
3625,exp,IORcontrol,0.199999996,19,0.1,7,0,0,7,1,0,0.099999996
3625,exp,IORcontrol,0.149999996,20,0.05,5,0,1,6,0,7,0.099999996
3625,exp,IORcontrol,0.199999996,21,0.1,4,0,0,4,1,8,0.099999996
3625,exp,IORcontrol,0.599999996,1,0.5,5,1,1,5,1,0,0.099999996
